Market pair,Price,Spread,Change,Volume,Trades,24h,7d,24h,7d,24h,Total
SDEXEX-GBQHMDRWV3WU5YACBUUCBY4Y6PPWBJXW5WCSG5XJ63FC4HXJNGXYFD5JMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.0004 SDEXEX/MORTG,,(0.97%),(1.2%),8.59M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,54.6M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,26,4197
SCRO-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66JMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.0022 SCRO/MORTG,,(0.65%),(68.7%),3.63M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,13.7M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,6,233
XRP-GBPG6EPK77NYTE5ETIW2NWB6TNAPCURDTYGGZABZQOINT2TQHG42KDKEMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.0036 XRP/MORTG,,(23.4%),(151.5%),3.07M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,16.88M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,6,186
SHIITAKE-GCYFTWN52RZ7CT7LO5PIMPGHBWXKSSKGGEUNFQMX363XEPX3J4HFDJSDMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.1588 SHIITAKE/MORTG,,(4.1%),(7.3%),1.38M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,17.11M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,1,2709
SAXOBANK-GDE6NSC55MJW23F3E362Z6MVLQGCRMWG2BYFLSSWXWAIWD27VN2QKNPLMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,30.448 SAXOBANK/MORTG,,(1.3%),(46.1%),614.74K MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,2.95M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,4,274
STJOHNmREIT-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.1433 STJOHNmREIT/MORTG,,(1%),(18.5%),409.05K MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,2.72M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,6,223
STTHOMmREIT-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.1985 STTHOMmREIT/MORTG,,(0.69%),(17%),338.15K MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,2.91M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,4,232
STCROIXmREIT-GCFLUK4UK77337BRT6UGWP5UHYB73PSQ4HRACL6HJOQWH4GAKL4UX3RBMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.1214 STCROIXmREIT/MORTG,,(1.1%),(19.3%),235.69K MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,1.3M MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,5,181
MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VUXLM,6327578.117 MORTG/XLM,99.97%,(3.3%),(2.4%),0.012 XLM,0.44 XLM,6,6419
MULTISIG-GCXQQCX25YCZKCSS3XEQSA4HQUORSEQPV66C3HAYN7MDOJU2PUMHK66JMORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.0017 MULTISIG/MORTG,,(29.8%),(49.6%),26.65K MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,488.57K MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,2,149
StellarTerm-GDY47N2O3G7OD2QL4YVMTMFNGG52TYQCS3KMHVYEGCZ2FDDVKJC5DWP4MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0.0002 StellarTerm/MORTG,,(0%),(6.6%),0 MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,84.69K MORTG-GDBQCRCX5CI7XLLPTP3CX22NBR2IIJCH3WNYSBWEZN3IR6QCUS4BK2VU,0,324
